72.2636458333	-88.2763861111	6.1357
258.994358333	-87.5647916667	6.1444
72.5395083333	-88.2745138889	6.2356
218.641558333	-89.7719361111	6.3055
317.109008333	-88.9594638889	6.3671
348.9799	-87.9694277778	6.4489
130.53165	-89.4603222222	6.4995
72.2707708333	-88.283775	6.5081
170.030829167	-88.2467416667	6.5395
234.981891667	-88.6554305556	6.5944
339.187008333	-87.3321611111	6.6765
19.07925	-87.3571555556	6.7169
341.273891667	-88.8228166667	6.7264
268.987491667	-87.2393277778	6.8026
198.762129167	-87.5538	6.8111
341.439079167	-88.8161055556	6.8181
269.682020833	-87.3638333333	6.8525
252.781041667	-87.1320638889	6.959
231.039358333	-87.7082277778	7.0206
196.884641667	-87.4335138889	7.0914
204.511191667	-87.5156444444	7.1369
207.421870833	-87.3346638889	7.18
287.753420833	-87.1872583333	7.2239
146.067391667	-87.2168888889	7.2499
341.735441667	-88.8243166667	7.2951
280.446079167	-88.9124444444	7.3504
65.3835333333	-87.8192583333	7.3696
65.2936541667	-87.8249333333	7.37
317.778391667	-88.4566	7.4356
0.0	-88.3707416667	7.4605
134.268641667	-88.2680611111	7.4644
278.340520833	-89.1388916667	7.4707
142.260108333	-89.3465277778	7.5
165.8398	-89.2385888889	7.5334
125.0451	-87.7241833333	7.5358
166.526391667	-88.9583361111	7.5565
297.3556	-88.8528555556	7.5697
210.581829167	-87.2480305556	7.6064
193.37465	-87.4476166667	7.6355
160.300641667	-88.3293027778	7.6408
237.261441667	-87.2604555556	7.6637
142.41015	-87.9399333333	7.6986
96.7419333333	-88.7450361111	7.7225
59.4171791667	-87.4976305556	7.739
59.336725	-87.5058666667	7.7405
166.981670833	-88.3473555556	7.7578
241.407641667	-89.3095472222	7.772
34.6253166667	-88.1556638889	7.7885
320.727129167	-87.06	7.793
307.036408333	-87.4768972222	7.7983
210.505720833	-87.609725	7.8035
323.379758333	-87.19655	7.8605
196.993829167	-87.2089638889	7.8685
337.366808333	-87.5157388889	7.8703
244.8484	-87.553625	7.8706
154.291791667	-87.7217916667	7.8713
118.394620833	-87.4506861111	7.8715
225.902508333	-88.2248916667	7.912
52.4392583333	-88.2543472222	7.9583
236.745858333	-87.1777638889	8.0206
281.92255	-88.7771305556	8.06
336.18995	-87.2775277778	8.0679
224.921329167	-88.3760194444	8.0841
280.839008333	-88.9229666667	8.1047
258.28175	-87.8576472222	8.113
226.482070833	-87.1658861111	8.1139
149.142141667	-89.7817388889	8.114
44.5831166667	-87.3333666667	8.1303
241.643020833	-88.5276888889	8.131
44.4789416667	-87.3405361111	8.1342
43.0048625	-88.5548916667	8.1405
110.692908333	-87.5316	8.1418
95.4278791667	-87.5510694444	8.1498
128.849341667	-88.2434916667	8.152
276.49745	-88.3389611111	8.1565
213.6206	-88.7711027778	8.1573
